taxon_name,common name,status,life_cycle,flower_color,bloom_start,bloom_end,jepson id,calrecnum,inat id,cch2_id,fna,calscape_cn,calipc,RPI ID,CRPR,CESA,FESA,SRank,GRank
Arctostaphylos crustacea subsp. rosei,,N,,,,,91854,11338,79590,94936,true,Rose's Manzanita
Arctostaphylos glandulosa subsp. cushingiana,,N,,,,,91856,11339,79594,94940,true,Cushing Manzanita
Arctostaphylos glandulosa subsp. glandulosa,Eastwood manzanita,N,,,,,49170,552,53354,94942,true,Eastwood Manzanita
Arctostaphylos glandulosa subsp. mollis,,N,,,,,49172,554,53377,202149,true,Eastwood's Manzanita
Arctostaphylos glauca,greatberry manzanita,N,,,,,13926,556,55133,63118,true,Bigberry Manzanita
Arctostaphylos manzanita subsp. laevigata,Contra Costa manzanita,N,,,,,49185,574,61922,202153,true,Contra Costa Manzanita,,39,1B.2,,,S2,G5T2
Arctostaphylos manzanita subsp. manzanita,,N,,,,,49186,575,55136,94959,true,Whiteleaf Manzanita
Arctostaphylos pallida,pallid manzanita,N,,,,,13962,594,53355,63156,true,Pallid Manzanita,,33,1B.1,CE,FT,S1,G1
Argemone munita,prickly poppy,N,,,,,14117,657,58950,10397,true,Chicalote
Argyranthemum foeniculaceum,,X,,,,,77423,658,75554,202185,true
Aristida oligantha,oldfield three-awn,N,,,,,14193,664,75562,135677,true,Oldfield Three-awn
Aristolochia californica,pipevine,N,,,,,14232,674,55190,10466,true,Dutchmans Pipe
Arnica discoidea,,N,,,,,1123,683,52851,202197,true,Rayless Arnica
Artemisia biennis,biennial wormwood,X,,,,,1169,703,58798,202211,true
Artemisia californica,California sagebrush,N,,,,,1171,705,53357,202216,true,California Sagebrush
Artemisia douglasiana,mugwort,N,,,,,1187,708,52854,202219,true,Mugwort
Artemisia dracunculus,tarragon,N,,,,,1188,709,57912,202220,true,Wild Tarragon
Artemisia pycnocephala,coastal sagewort,N,,,,,1235,720,60952,202241,true,Dune Sagewort
Arthrocnemum subterminale,Parish's glasswort,N,,,,,14292,11352,931443,111873,true,Parish's Pickleweed
Arum italicum,,X,,,,,14303,730,61168,207998,,,arum-italicum-plant-profile
Arundo donax,giant reed,X,,,,,14319,732,64017,136045,true,,arundo-donax-profile
Asarum caudatum,wild-ginger,N,,,,,14334,733,52858,10558,true,Wild Ginger
Asclepias californica,California milkweed,N,perennial,purple,4,7,14357,739,51272,63250,true,California Milkweed
Asclepias cordifolia,purple milkweed,N,perennial,purple,5,7,14360,741,62248,63255,true,Heart Leaf Milkweed
Asclepias eriocarpa,kotolo,N,perennial,white,5,10,14369,745,58796,63266,true,Woollypod Milkweed
Asclepias fascicularis,narrow-leaf milkweed,N,perennial,white,5,10,14375,747,56851,63269,true,Narrow Leaf Milkweed
Asclepias speciosa,milkweed,N,perennial,purple,5,9,14422,751,62292,63324,true,Showy Milkweed
Asparagus asparagoides,,X,,,,,14480,755,64107,202252,true,,asparagus-asparagoides-profile
Asparagus officinalis subsp. officinalis,asparagus,X,,,,,77139,756,60265,202255,Asparagus officinalis
Asphodelus fistulosus,onionweed,X,,,,,14494,758,75606,202257,true,,asphodelus-fistulosus-profile
Aspidotis californica,California lace fern,N,,,,,14504,759,58758,197284,true,California Lace Fern
Aspidotis carlotta-halliae,lace fern,N,,,,,14505,760,75607,197285,true,Carlotta Hall's Lace Fern,,1576,4.2,,,S3,G3
Aspidotis densa,,N,,,,,14506,761,63868,197286,true,Dense Lace Fern
Astragalus asymmetricus,San Joaquin milkvetch,N,,,,,14702,803,58145,10685,true,San Joaquin Milk Vetch
Astragalus breweri,,N,,,,,14733,810,75628,10717,true,Brewer's Milkvetch,,297,4.2,,,S3,G3
Astragalus didymocarpus var. didymocarpus,two-seeded milkvetch,N,,,,,54711,827,58895,44840,true,Dwarf White Milkvetch
Astragalus gambelianus,little blue loco,N,,,,,14840,838,57042,10856,true,Gambel's Dwarf Milk Vetch
Astragalus nuttallii var. nuttallii,,N,,,,,54881,897,80423,45033,true,Ocean Bluff Milkvetch,,1825,4.3,,,S4,G4T4
Astragalus nuttallii var. virgatus,,N,,,,,54882,898,80424,45034,true,Angel Island Milkwort
Astragalus tener var. tener,alkali milkvetch,N,,,,,54950,940,80442,45116,true,Alkali Milkvetch,,1129,1B.2,,,S1,G2T1
Athyrium filix-femina var. cyclosorum,western lady fern,N,,,,,54990,959,61002,201218,true,Lady Fern
Athysanus pusillus,,N,,,,,15178,960,58069,11236,true,Common Sandweed
Athysanus unilateralis,,N,,,,,15179,11354,75695,11237,true
Atriplex argentea var. expansa,silverscale,N,,,,,76505,11355,80454,129385,Atriplex argentea var. mohavensis,Silverscale
Atriplex coronata var. coronata,crownscale,N,,,,,55004,973,80462,129401,true,Crownscale,,1130,4.2,,,S3,G4T3
Atriplex depressa,brittlescale,N,,,,,76507,976,60174,111916,Atriplex parishii var. depressa,Brittlescale,,1132,1B.2,,,S2,G2
Atriplex dioica,thickleaf orach,N,,,,,15275,10508,75701,111917,true,Thickleaf Orach
Atriplex fruticulosa,ballscale,N,,,,,15211,980,58117,111927,true,Ballscale
Atriplex gmelinii var. gmelinii,,N,,,,,71458,11364,75705,129425,true,Gmelin's Saltbush
Atriplex lentiformis,big saltbush,N,,,,,15228,986,58118,111953,true,Big Saltbush
Atriplex leucophylla,beach saltbush,N,,,,,15230,989,60994,111956,true,Seascale
Atriplex minuscula,lesser saltscale,N,,,,,76509,991,75710,111966,Atriplex parishii var. minuscula,Lesser Saltscale,,1133,1B.1,,,S2,G2
Atriplex patula,spear orach,N,,,,,15252,996,60175,111983,true,Spear Orache
Atriplex prostrata,spearscale,X,,,,,15260,11366,60176,111992,true
Atriplex rosea,tumbling orach,X,,,,,15265,1002,58121,111998,true
Atriplex semibaccata,Australian saltbush,X,,,,,15267,1003,60177,112001,true,,atriplex-semibaccata-profile
Atriplex serenana var. serenana,bractscale,N,,,,,55036,1006,80470,129460,true,Bractscale
Atriplex suberecta,sprawling saltbush,X,,,,,15272,1008,58123,112008,true
Avena barbata,slender wild oat,X,,,,,15320,1017,52696,136280,true,,avena-barbata-profile
Avena fatua,wild oat,X,,,,,15321,1018,52698,136309,true,,avena-fatua-profile
Avena sterilis,,X,,,,,15325,1021,75722,136396,true
Azolla filiculoides,mosquito fern,N,,,,,15380,1026,58754,197458,true,Mosquito Fern
Baccharis glutinosa,marsh baccharis,N,,,,,1607,11368,75727,202381,true,Saltmarsh Baccharis
Baccharis pilularis subsp. consanguinea,coyote brush,N,,,,,5833,11369,79638,202385,true,Coyote Brush
Baccharis pilularis subsp. pilularis,,N,,,,,69898,11370,79639,202386,true,Coyote Brush
Baccharis salicifolia subsp. salicifolia,"mule fat,seepwillow",N,,,,,91889,11371,79641,202380,Baccharis salicifolia,Mule Fat
Balsamorhiza deltoidea,,N,,,,,1634,1047,70383,202414,true,Balsam Deltoid
Balsamorhiza macrolepis,,N,,,,,1639,1051,69665,211633,true,California Balsamroot,,350,1B.2,,,S2,G2
Barbarea orthoceras,winter cress,N,,yellow,3,7,15481,1057,52976,11356,true,American Wintercress
Bassia hyssopifolia,,X,,,,,15511,1060,58125,109432,true,,bassia-hyssopifolia-profile
Bellardia trixago var. trixago,Mediterranean lineseed,X,annual,"white,pink",4,8,8635,14706,1115038,416937,Bellardia trixago
Bellardia viscosa,yellow glandweed,X,annual,yellow,4,10,103729,14707,537967,206574,true
Bellis perennis,English daisy,X,,,,,1652,1065,55563,202429,true
Berberis aquifolium var. aquifolium,,N,,,,,71483,1068,126887,45198,Berberis aquifolium,Piper's Barberry
Berberis aquifolium var. dictyota,,N,,,,,76967,1069,775436,45199,Berberis dictyota,Shining Netvein Barberry
Berberis nervosa,Oregon grape,N,,,,,15594,1073,75756,11473,true,Oregon Grape
Berberis pinnata subsp. pinnata,California barberry,N,,yellow,,,70025,1077,58851,41727,true,California Barberry
Berula erecta,water-parsnip,N,,,,,15614,1081,58790,202438,,Cutleaf Waterparsnip
Beta vulgaris subsp. maritima,sea beet,X,,,,,49427,11374,79643,127821,true
Bidens frondosa,sticktight,N,,,,,1702,1086,51712,202448,true,Sticktight
Bidens laevis,bur-marigold,N,,,,,1711,1087,75766,202450,true,Bur Marigold
Blennosperma nanum var. nanum,,N,,,,,6876,1094,64152,202456,true,Common Blennosperma
Blepharizonia laxa,glandular big tarplant,N,,,,,80231,10792,58799,202461,true,Glandular Big Tarweed
Blepharizonia plumosa,big tarplant,N,,,,,1762,1098,57915,202462,true,Big Tarplant,,1589,1B.1,,,S1S2,G1G2
Bloomeria crocea var. aurea,,N,,yellow,4,6,55181,11376,80476,202467,true,Golden Stars
Boechera breweri subsp. breweri,Brewer's rock cress,N,,,,,85519,11382,79644,41737,true,Brewer's Rock Cress
Bolboschoenus fluviatilis,river bulrush,N,,,,,80011,11419,64228,103271,true,River Bulrush
Bolboschoenus maritimus subsp. paludosus,saltmarsh bulrush,N,,,,,49436,10796,79646,107348,true,Prairie Rush
Bolboschoenus robustus,seacoast bulrush,N,,,,,77450,10798,75840,103276,true,Big Bulrush
Bowlesia incana,Hoary bowlesia,N,annual,green,3,4,15999,1133,56822,202482,,Hoary Bowlesia
Brachypodium distachyon,false-brome,X,,,,,16042,1137,57158,136941,true,,brachypodium-distachyon-profile
Brassica juncea,India mustard,X,"annual,perennial",yellow,5,9,16072,1142,64241,11799,true
Brassica nigra,black mustard,X,annual,yellow,4,9,16079,1144,1555489,11804,true,,brassica-nigra-profile
Brassica oleracea,cabbage,X,"biennial,perennial",yellow,5,8,16080,9040,54516,11805,true
Brassica rapa,field mustard,X,"annual,biennial",yellow,1,5,16081,1145,53271,11811,true,,brassica-rapa-profile
Brickellia californica,California brickelbush,N,,,,,1794,1152,58803,202493,true,Brickell Bush
Brickellia grandiflora,tassellflower brickellia,N,perennial,"yellow,green",7,10,1812,1155,75874,202503,true,Tasselflower Brickellbush
Briza maxima,quaking grass,X,,,,,16135,1165,57157,136989,true,,briza-maxima-profile
Briza minor,little quaking grass,X,,,,,16137,1166,57162,136993,true
Brodiaea elegans subsp. elegans,harvest brodiaea,N,corm,purple,4,8,49461,1175,57127,202520,true,Harvest Brodiaea
Brodiaea terrestris subsp. terrestris,,N,corm,purple,4,7,49464,1188,59081,202533,true,Dwarf Brodiaea
Bromus arenarius,Australian chess,X,,,,,16216,1191,58368,137101,true
Bromus berteroanus,Chilean chess,X,,,,,16219,9740,75897,137110,true
Bromus catharticus var. catharticus,rescue grass,X,,,,,85279,11433,80494,169088,true
Bromus catharticus var. elatus,Chilean brome,X,,,,,85278,11434,705496,202536,true
Bromus commutatus,hairy chess,X,,,,,16233,11435,75900,137137,true
Bromus diandrus,ripgut brome,X,,,,,16235,1200,52702,137151,true,,bromus-diandrus-profile
Bromus hordeaceus,soft chess,X,,,,,16244,1202,52703,137185,true,,bromus-hordeaceus-profile
Bromus japonicus,Japanese chess,X,,,,,16250,1205,75904,137192,true,,bromus-japonicus-profile
Bromus laevipes,"woodland brome,Chinook brome",N,,,,,16255,1206,52704,137198,true,Woodland Brome
Bromus madritensis,Spanish brome,X,,,,,16263,1207,52707,137215,true
Bromus pseudolaevipes,woodland brome,N,,,,,16275,1211,75908,137271,true,Coast Range Brome
Bromus racemosus,smooth brome,X,,,,,16278,11440,75909,137276,true
Bromus rubens,foxtail chess,X,,,,,16281,13634,59210,137281,true
Bromus sitchensis var. carinatus,California brome,N,,,,,108589,13623,52700,375313,Bromus carinatus,California Brome Grass
Bromus sitchensis var. marginatus,mountain brome,N,,,,,108590,13624,159467,169226,Bromus carinatus var. marginatus
Bromus sitchensis var. maritimus,maritime brome,N,,,,,108591,13625,71142,377677,Bromus maritimus,Maritime Brome
Bromus sterilis,poverty brome,X,,,,,16288,1216,57163,137298,true
Bromus tectorum,cheat grass,X,,,,,16290,1218,58369,137310,true,,bromus-tectorum-profile
